fname_c1	fname_c2	lname_c1	lname_c2	by	bm	bd
FRANK	NA	MUELLER	NA	1967	9	27
MARTIN	NA	SCHWARZ	NA	1967	2	17
HERBERT	NA	ZIMMERMANN	NA	1961	11	6
HANS	NA	SCHMITT	NA	1945	8	14
UWE	NA	KELLER	NA	2000	7	5
DANIEL	NA	HEINRICH	NA	1967	5	6
MARTIN	NA	ZIMMERMANN	NA	1982	11	2
ANDREAS	BENJAMIN	BERGMANN	NA	1989	9	13
DIETER	NA	SCHUSTER	NA	1974	4	19
MANFRED	NA	SCHMIDT	NA	1979	7	11
PATRICK	NA	WOLF	NA	1988	8	22
STEFAN	NA	RICHTER	NA	1943	3	22
KLAUS	NA	WINKLER	NA	1974	8	22
GERHARD	NA	WALTER	NA	1938	8	15
WERNER	HELMUT	LORENZ	NA	1958	9	18
THORSTEN	NA	LANGE	NA	1965	3	29
KURT	NA	MUELLER	NA	1966	9	12
RICHARD	NA	SCHMIDT	NA	1984	1	31
ANDREAS	NA	SCHAEFER	NA	1930	4	29
KAI	NA	HARTMANN	NA	1963	11	26
GERHARD	NA	VOGEL	NA	1986	7	8
GUENTHER	NA	MUELLER	NA	1994	11	17
CARSTEN	NA	MUELLER	WAGNER	1957	5	27
MARCO	NA	ALBRECHT	NA	2008	11	7
PETER	NA	KRAEMER	NA	1929	8	7
PATRICK	NA	WEBER	NA	2006	12	2
WOLFGANG	ERNST	GUENTHER	NA	1929	10	12
JOACHIM	NA	KUEHN	NA	1994	11	21
ANDREAS	NA	WALTER	NA	1954	11	6
KURT	NA	SCHMITT	NA	1968	12	22
MARTIN	NA	FISCHER	NA	1996	7	5
GERHARD	NA	SCHMITT	NA	2000	1	31
JAN	NA	THOMAS	BECKER	2002	12	22
BERND	NA	MAIER	NA	1998	8	20
ANDREAS	NA	WEBER	NA	1955	3	1
CHRISTIAN	NA	BECK	NA	1967	10	3
THOMAS	NA	SOMMER	NA	1986	9	5
HORSTX	NA	MUELLER	NA	1991	9	7
MARK	NA	MUELLER	NA	1965	2	9
STEFAN	NA	SCHUMACHER	NA	1983	5	19
CHRISTOPH	NA	MAYER	NA	2006	3	29
MARKUS	NA	SCHULZ	NA	1942	9	29
HEINRICH	NA	HUBER	NA	1977	1	14
PETER	NA	KUHN	NA	1981	3	20
WOLFGANG	NA	KAISER	NA	1934	12	26
JOERG	PETER	BECK	NA	1996	10	8
PATRICK	NA	SCHMID	NA	1945	6	5
WERNER	NA	GUENTHER	NA	1956	1	25
MANFRED	NA	WEISS	NA	1925	11	8
JOHANNES	NA	MUELLER	NA	1974	2	24
MATTHIAS	NA	MUELLLER	NA	1993	1	24
MICHAEL	NA	BECKER	NA	1998	10	30
GERD	NA	LORENZ	NA	1940	5	23
OTTO	NA	SCHUMACHER	NA	1963	3	27
FRANK	NA	PETERS	NA	1990	7	1
BERND	NA	BAUER	NA	1929	6	4
HORST	NA	MUELLER	NA	1941	11	6
JOERG	NA	SCHROEDER	NA	1955	9	25
JOERG	NA	MUELLER	NA	1964	12	14
HELMUT	NA	MAIER	NA	1970	3	24
WALTER	NA	KLEIN	NA	2008	8	2
JUERGEN	NA	SCHNEIDER	NA	1951	2	13
HELMUT	NA	PETERS	NA	2007	9	3
STEFAN	NA	KLEIN	NA	1986	11	15
SVEN	NA	KRUEGER	NA	1965	8	19
DENNIS	NA	KRAUSE	NA	1997	8	15
WALTER	HEINZ	SCHREIBER	NA	1978	5	27
WOLFGANG	NA	RICHTER	NA	1980	2	7
GERHARD	NA	RICHTER	NA	1956	8	28
MICHAEL	NA	SCHROEDER	NA	1955	12	8
HOLGER	NA	MEYER	NA	1967	2	24
WOLFGANG	NA	WEISS	NA	1938	4	4
MAIK	NA	SCHMIDT	NA	1977	11	12
DIETER	NA	HOFFMANN	NA	1959	1	24
HERMAANN	NA	MUELLER	NA	1990	10	2
OTTO	NA	MAYER	NA	1958	2	15
RAINER	NA	HUBER	NA	1958	1	19
GERHARD	NA	SCHMIDT	NA	1957	11	17
HORST	THOMAS	SCHROEDER	NA	1936	5	10
THORSTEN	NA	MAYER	NA	1993	9	18
PETER	NA	SCHOLZ	NA	1982	9	12
STEFAN	NA	KUHN	NA	1939	10	23
MATTHIAS	NA	MOELLER	NA	1956	6	28
GERHARD	NA	SIMON	NA	1935	8	7
HARALD	NA	FUCHS	NA	1954	11	20
RUDOLF	NA	SCHMITZ	NA	2005	11	6
HEINZ	NA	MAOER	NA	1949	0	13
STEFAN	NA	HOFFMANN	NA	1934	4	1
SVEN	NA	BAUER	NA	1935	1	23
CHRISTIAN	NA	SCHMIDT	NA	1970	12	13
CHRISTIAN	NA	SCHROEDER	NA	1961	10	6
JUERGEN	NA	BRAUN	NA	2007	10	16
GERHARD	NA	WALTER	NA	1963	11	5
HELMUT	NA	SIMON	NA	1973	4	17
ANDREAS	NA	HOFFMANN	NA	1990	1	23
FRANK	NA	KRAUS	NA	1966	5	26
STEFAN	NA	BAUER	NA	1956	6	28
UWE	NA	JAEGER	NA	1960	10	23
RALF	NA	HUBER	NA	1964	10	13
KURT	NA	SCHMIDT	NA	1959	8	31
WERNER	NA	SIMON	NA	1971	4	29
MICHAEL	NA	BAUMANN	NA	1927	9	29
HANS	VOLKER	WAGNER	NA	1966	10	5
NORBERT	NA	SCHMIDT	NA	1935	6	16
HERMANN	NA	HORN	NA	1939	7	12
DIETER	NA	SCHAEFR	NA	1952	12	12
SVEN	NA	WINTER	NA	1993	6	16
GUENTHER	NA	KRUEGER	MARTIN	1976	11	16
CHRISTIAN	NA	MUELLER	NA	1939	4	3
HEINZA	NA	WINKLER	NA	1965	12	7
HEINZ	NA	BAUER	NA	2004	9	17
MARTIYN	NA	MAIRR	NA	2008	2	1
SVEN	NA	FISCHER	NA	1950	6	12
JUERGEN	NA	MEIER	NA	1952	8	13
HERMANN	NA	SCHMIDT	NA	1954	8	26
FRANK	NA	SCHULZ	NA	1959	5	18
CHRISTOPH	NA	GUENTHER	NA	1986	5	8
GERHARD	NA	WAGNER	NA	1950	5	30
